[0.3187684118747711],[0.18041887879371643],[60.153713230597425],[0.022676387801766396],[0.116851307451725],[0.5827906888858481]
[0.32704347372055054],[0.19524140655994415],[60.348644945058346],[0.010137462057173252],[0.11790098249912262],[-0.29053944670948934]
[0.3361779749393463],[0.21247978508472443],[61.339763929882125],[-0.003910095430910587],[0.11803311109542847],[-1.5691051175813329]
[0.3418102562427521],[0.22375193238258362],[61.64933144445662],[-0.012341633439064026],[0.11733139306306839],[-2.2497348717794847]
[0.34799543023109436],[0.23461338877677917],[61.9001181398696],[-0.020260093733668327],[0.11663883179426193],[-3.174302453942379]
[0.35568445920944214],[0.2506757080554962],[62.82326427403718],[-0.030272824689745903],[0.11510705202817917],[-3.657600799755474]
[0.3610399067401886],[0.2622118890285492],[63.13036464281339],[-0.036638740450143814],[0.11357631534337997],[-4.220565703540045]
[0.3663080334663391],[0.2732786536216736],[63.29683994277506],[-0.04210355505347252],[0.11140016466379166],[-4.795274378115872]
[0.37246617674827576],[0.28813502192497253],[63.7511954320812],[-0.04750393331050873],[0.10873770713806152],[-5.546266112287179]
[0.3795120418071747],[0.30061855912208557],[64.43718027830211],[-0.05206238105893135],[0.10629493743181229],[-6.117587531790317]
[0.38351738452911377],[0.3098542392253876],[64.56713955724442],[-0.05492889881134033],[0.10465272516012192],[-6.6274339339082005]
[0.3887406587600708],[0.3190607726573944],[63.55208999048027],[-0.057126592844724655],[0.10328344255685806],[-6.771444757682184]
[0.39124611020088196],[0.32385894656181335],[67.5705909078149],[-0.05871480703353882],[0.10258300602436066],[-6.795362124006691]
[0.39406847953796387],[0.32144907116889954],[76.49170100143051],[-0.05980272963643074],[0.10246191173791885],[-6.549634506066284]
[0.40116143226623535],[0.3220798373222351],[84.17683143919608],[-0.05992952361702919],[0.10310158133506775],[-5.888729862049789]
[0.40644511580467224],[0.3242427706718445],[90.59733711343354],[-0.05917924642562866],[0.10402221232652664],[-5.074928027129795]
[0.41131147742271423],[0.3317217230796814],[96.46747524614142],[-0.05701189860701561],[0.10599742084741592],[-3.7489190785936493]
[0.4139949381351471],[0.3385770618915558],[94.74887158125291],[-0.055033937096595764],[0.10886619240045547],[-1.4965996605905052]
[0.41093122959136963],[0.34442174434661865],[89.88577474436362],[-0.05265544354915619],[0.11388185620307922],[1.3849351247541775]
[0.4057457745075226],[0.35060587525367737],[86.45332236502061],[-0.048937976360321045],[0.12112639099359512],[4.763428845652761]
[0.401184618473053],[0.354147732257843],[82.6172328456692],[-0.044839344918727875],[0.13094206154346466],[10.54915168122654]
[0.3955867290496826],[0.35463494062423706],[79.30727593056169],[-0.04161647707223892],[0.13988207280635834],[16.323184436071948]
[0.38501057028770447],[0.3513514995574951],[71.72203977234601],[-0.03756619617342949],[0.1515507847070694],[24.165797065735102]
[0.3693103790283203],[0.3439914286136627],[62.00981665392353],[-0.03206143528223038],[0.16266433894634247],[31.878784271967778]
[0.3487089276313782],[0.3337973654270172],[52.06410216838347],[-0.026731232181191444],[0.1722140610218048],[39.73063763623912]
[0.31798550486564636],[0.31480053067207336],[43.07502338897963],[-0.02162880264222622],[0.18242131173610687],[49.47148679031503]
[0.2991597056388855],[0.2969786822795868],[36.33156785994688],[-0.020469849929213524],[0.1835264414548874],[50.55350775304134]
[0.2834884226322174],[0.2832091748714447],[35.09409184970439],[-0.020469849929213524],[0.1835264414548874],[50.55350775304134]
[0.24363788962364197],[0.2542496919631958],[28.17489135815086],[-0.020469849929213524],[0.1835264414548874],[50.55350775304134]
[0.24363788962364197],[0.2542496919631958],[28.17489135815086],[-0.020469849929213524],[0.1835264414548874],[50.55350775304134]
[0.24363788962364197],[0.2542496919631958],[28.17489135815086],[-0.020469849929213524],[0.1835264414548874],[50.55350775304134]
[0.24363788962364197],[0.2542496919631958],[28.17489135815086],[-0.020469849929213524],[0.1835264414548874],[50.55350775304134]
