[-0.0018735385965555906],[-0.44319772720336914],[177.64661737180546],[0.3869470953941345],[0.47938063740730286],[-124.97816313118109]
[-0.001851874403655529],[-0.44318950176239014],[177.64162539589273],[0.3897183835506439],[0.48252442479133606],[-125.06329525305588]
[-0.0018625599332153797],[-0.4431922733783722],[177.6447379286789],[0.3921589255332947],[0.4853242337703705],[-125.18445419476237]
[-0.001855368260294199],[-0.4431847035884857],[177.6433396718933],[0.394750714302063],[0.48810356855392456],[-125.1851618181898]
[-0.00187119806651026],[-0.44318249821662903],[177.6410523288768],[0.3969200849533081],[0.4903414845466614],[-125.03745048706465]
[-0.0018750661984086037],[-0.443186491727829],[177.6474671906705],[0.3996680974960327],[0.4937743544578552],[-125.21718779005715]
[-0.001868719351477921],[-0.4431852698326111],[177.64662874250627],[0.40533512830734253],[0.49987825751304626],[-125.1124178320803]
[-0.0018615126609802246],[-0.4431808590888977],[177.6485847055325],[0.4077187776565552],[0.5024696588516235],[-124.95596943229097]
[-0.00185333751142025],[-0.44317856431007385],[177.6454874900981],[0.4096003770828247],[0.5045305490493774],[-124.85394206566623]
[-0.0018532518297433853],[-0.4431832432746887],[177.64565205941705],[0.4128478467464447],[0.5080965757369995],[-125.00585146991135]
[-0.0018521242309361696],[-0.44318103790283203],[177.64281448896332],[0.41520851850509644],[0.5107588768005371],[-125.10139070598547]
[-0.0018624057993292809],[-0.4431741237640381],[177.64618842478671],[0.4174324870109558],[0.5133252143859863],[-125.1265497931539]
[-0.0018714877078309655],[-0.4431767165660858],[177.64601232072616],[0.41972583532333374],[0.5157976746559143],[-125.1124873714715]
[-0.0017643009778112173],[-0.4431590735912323],[177.5412749184395],[0.4232798218727112],[0.5196316838264465],[-124.92081853080272]
[-0.0017895909259095788],[-0.4431658685207367],[177.57928626804363],[0.42555391788482666],[0.5222817659378052],[-124.88338931091732]
[-0.0017924660351127386],[-0.4431426525115967],[177.56962360396338],[0.42747411131858826],[0.5244184136390686],[-124.80441567851582]
[-0.001782846637070179],[-0.4431520998477936],[177.57030623117623],[0.42984670400619507],[0.52700275182724],[-124.84638985713904]
[-0.001691655721515417],[-0.44311776757240295],[177.59812445801205],[0.4314688444137573],[0.528975248336792],[-125.20750211554147]
[-0.0016944997478276491],[-0.44312015175819397],[177.59474489871823],[0.4333927631378174],[0.5315530896186829],[-125.93368096692524]
[-0.001704556867480278],[-0.44312962889671326],[177.5940462394147],[0.4354669153690338],[0.5340995788574219],[-126.49437445550961]
[-0.0016956040635704994],[-0.4431096017360687],[177.59274436022247],[0.43821218609809875],[0.5369653701782227],[-126.77866423594435]
[-0.0017045929562300444],[-0.44310468435287476],[177.59064220709504],[0.44123420119285583],[0.5398976802825928],[-126.76267345190938]
[-0.0016832383116707206],[-0.44314298033714294],[177.58327667195644],[0.44345298409461975],[0.5423315167427063],[-127.02285992918037]
[-0.0016886655939742923],[-0.44312819838523865],[177.5976685505139],[0.4449697434902191],[0.5441651344299316],[-127.7400189770959]
[-0.0016878274036571383],[-0.4431179165840149],[177.59456428160487],[0.4466906785964966],[0.5463375449180603],[-128.4624744449959]
[-0.0016883265925571322],[-0.443082332611084],[177.5853199669774],[0.4486617147922516],[0.5483512878417969],[-129.0008607224752]
[-0.001705299480818212],[-0.4431147575378418],[177.5990463089449],[0.45091918110847473],[0.5505673289299011],[-128.87880672933002]
[-0.0018016446847468615],[-0.44314640760421753],[177.5677169533891],[0.4529520571231842],[0.5525033473968506],[-128.9233425665886]
[-0.0018583298660814762],[-0.4432280659675598],[177.63103566422694],[0.4555821716785431],[0.5551062226295471],[-128.69041657823564]
[-0.0017888094298541546],[-0.4431479871273041],[177.56930165423984],[0.45817136764526367],[0.5575311779975891],[-128.7941626924564]
[-0.0018791877664625645],[-0.443193256855011],[177.68200271852078],[0.46128398180007935],[0.5604174137115479],[-128.88862553692636]
[-0.001886308891698718],[-0.4432062804698944],[177.68215947521657],[0.4633645713329315],[0.5626040101051331],[-128.99467132680334]
[-0.0018890283536165953],[-0.44319823384284973],[177.68327653281645],[0.46598488092422485],[0.5651692748069763],[-129.07600586543967]
[-0.0039358315989375114],[-0.44326263666152954],[178.89480169580938],[0.46832290291786194],[0.5672492980957031],[-128.75902430267243]
[-0.011007914319634438],[-0.44346362352371216],[-177.80758607631884],[0.47018611431121826],[0.5692844986915588],[-128.80235003116005]
[-0.023195264860987663],[-0.4443114101886749],[-175.36700308879406],[0.4719916880130768],[0.5710833072662354],[-129.14823458590942]
[-0.03726338595151901],[-0.44645801186561584],[-178.4085087590882],[0.4739173650741577],[0.5730612874031067],[-129.35351277221696]
[-0.04103440046310425],[-0.4494926929473877],[179.33637701973456],[0.47674325108528137],[0.5754742622375488],[-129.04617491523]
[-0.051379989832639694],[-0.4481605589389801],[171.24887293533374],[0.47911757230758667],[0.5775970816612244],[-128.69201985833303]
[-0.06808459013700485],[-0.4440535306930542],[160.51221361528573],[0.4817564785480499],[0.5801911950111389],[-128.649116916655]
[-0.07881785929203033],[-0.4395815134048462],[154.57891528182228],[0.4834442734718323],[0.5818554162979126],[-128.61967723252943]
[-0.09058317542076111],[-0.4332789182662964],[149.03605781698437],[0.48574021458625793],[0.5839206576347351],[-128.7260449090036]
[-0.10452866554260254],[-0.42383748292922974],[142.41768117043273],[0.48877349495887756],[0.5868380665779114],[-128.52224532892657]
